startTime,appName,projectName,organization,environment,Sonar,resultSonarAnalysis,api_performance_testing,api_performance_tests_executed,api_performance_tests_success_rate,api_functional_testing,api_tests_executed,api_tests_failed,forfify_security_test,web_functional_testing,web_tests_executed,web_tests_failed,trivy_security_test,fortify_security_critical,fortify_security_high,trivy_security_high,trivy_security_critical,product,appType,deploymentType
2024-09-05T20:13:21,ms-spb-wh-loan-contract-extension,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T19:59:57,ms-spb-wh-customer-search,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T19:59:47,ms-spb-wh-customer-loan,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T20:42:16,ms-camel-wh-entity-structural-organization,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T20:22:43,ms-spb-wh-loan-statements,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T20:30:42,ms-spb-wh-bills,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T20:59:38,ms-spb-wh-address,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T21:27:15,ms-spb-wh-second-direct-debit,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T21:27:24,ms-spb-wh-vehicle-remarketing,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T21:28:55,ms-spb-wh-general-tables-as400,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T21:28:46,ms-spb-wh-economical-tables-as400,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
